Date,Open,High,Low,Close,Adj Close,Volume
2010-06-29,19.000000,25.000000,17.540001,23.889999,23.889999,18766300
2010-06-30,25.790001,30.420000,23.299999,23.830000,23.830000,17187100
2010-07-01,25.000000,25.920000,20.270000,21.959999,21.959999,8218800
2010-07-02,23.000000,23.100000,18.709999,19.200001,19.200001,5139800
2010-07-06,20.000000,20.000000,15.830000,16.110001,16.110001,6866900
2010-07-07,16.400000,16.629999,14.980000,15.800000,15.800000,6921700
2010-07-08,16.139999,17.520000,15.570000,17.459999,17.459999,7711400
2010-07-09,17.580000,17.900000,16.549999,17.400000,17.400000,4050600
2010-07-12,17.950001,18.070000,17.000000,17.049999,17.049999,2202500
2010-07-13,17.389999,18.639999,16.900000,18.139999,18.139999,2680100
2010-07-14,17.940001,20.150000,17.760000,19.840000,19.840000,4195200
2010-07-15,19.940001,21.500000,19.000000,19.889999,19.889999,3739800
2010-07-16,20.700001,21.299999,20.049999,20.639999,20.639999,2621300
2010-07-19,21.370001,22.250000,20.920000,21.910000,21.910000,2486500
2010-07-20,21.850000,21.850000,20.049999,20.299999,20.299999,1825300
2010-07-21,20.660000,20.900000,19.500000,20.219999,20.219999,1252500
2010-07-22,20.500000,21.250000,20.370001,21.000000,21.000000,957800
2010-07-23,21.190001,21.559999,21.059999,21.290001,21.290001,653600
2010-07-26,21.500000,21.500000,20.299999,20.950001,20.950001,922200
2010-07-27,20.910000,21.180000,20.260000,20.549999,20.549999,619700
2010-07-28,20.549999,20.900000,20.510000,20.719999,20.719999,467200
2010-07-29,20.770000,20.879999,20.000000,20.350000,20.350000,616000
2010-07-30,20.200001,20.440001,19.549999,19.940001,19.940001,426900
2010-08-02,20.500000,20.969999,20.330000,20.920000,20.920000,718100
2010-08-03,21.000000,21.950001,20.820000,21.950001,21.950001,1230500
2010-08-04,21.950001,22.180000,20.850000,21.260000,21.260000,913000
2010-08-05,21.540001,21.549999,20.049999,20.450001,20.450001,796200
2010-08-06,20.100000,20.160000,19.520000,19.590000,19.590000,741900
2010-08-09,19.900000,19.980000,19.450001,19.600000,19.600000,812700
2010-08-10,19.650000,19.650000,18.820000,19.030001,19.030001,1281300
2010-08-11,18.690001,18.879999,17.850000,17.900000,17.900000,797600
2010-08-12,17.799999,17.900000,17.389999,17.600000,17.600000,691000
2010-08-13,18.180000,18.450001,17.660000,18.320000,18.320000,634000
2010-08-16,18.450001,18.799999,18.260000,18.780001,18.780001,485800
2010-08-17,18.959999,19.400000,18.780001,19.150000,19.150000,447900
2010-08-18,19.590000,19.590000,18.600000,18.770000,18.770000,601300
2010-08-19,18.540001,19.250000,18.330000,18.790001,18.790001,579100
2010-08-20,18.650000,19.110001,18.510000,19.100000,19.100000,296000
2010-08-23,19.090000,20.389999,19.000000,20.129999,20.129999,1088100
2010-08-24,19.250000,19.709999,18.950001,19.200001,19.200001,673100
2010-08-25,19.160000,19.980000,18.559999,19.900000,19.900000,503300
2010-08-26,19.889999,20.270000,19.600000,19.750000,19.750000,433800
2010-08-27,19.750000,19.870001,19.500000,19.700001,19.700001,379600
2010-08-30,19.700001,20.190001,19.610001,19.870001,19.870001,732800
2010-08-31,19.660000,19.790001,19.330000,19.480000,19.480000,201100
2010-09-01,19.620001,20.690001,19.600000,20.450001,20.450001,494900
2010-09-02,20.370001,21.240000,20.309999,21.059999,21.059999,487100
2010-09-03,20.870001,21.299999,20.660000,21.049999,21.049999,434600
2010-09-07,20.610001,21.000000,20.500000,20.540001,20.540001,243400
2010-09-08,20.660000,20.950001,20.600000,20.900000,20.900000,288400
2010-09-09,21.000000,21.049999,20.690001,20.709999,20.709999,376200
2010-09-10,20.750000,20.930000,19.760000,20.170000,20.170000,386600
2010-09-13,20.889999,20.900000,20.500000,20.719999,20.719999,360800
2010-09-14,20.540001,21.600000,20.530001,21.120001,21.120001,654700
2010-09-15,20.980000,22.000000,20.790001,21.980000,21.980000,684600
2010-09-16,22.150000,23.160000,20.840000,20.940001,20.940001,2684500
2010-09-17,21.020000,21.320000,19.799999,20.230000,20.230000,1198500
2010-09-20,20.670000,21.350000,20.160000,21.059999,21.059999,947500
2010-09-21,20.889999,21.549999,20.670000,20.770000,20.770000,796000
2010-09-22,20.870001,20.950001,19.799999,19.870001,19.870001,962900
2010-09-23,19.889999,20.139999,19.500000,19.559999,19.559999,668100
2010-09-24,19.950001,20.190001,19.650000,20.100000,20.100000,578900
2010-09-27,20.400000,20.809999,20.049999,20.530001,20.530001,418600
2010-09-28,21.040001,21.490000,20.760000,21.400000,21.400000,1214500
2010-09-29,21.190001,22.030001,21.129999,21.980000,21.980000,1969300
